City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
224,Yulara,AU,2022-07-09 03:14:24,-25.2406,130.9889,57.02,41,0,14.27
225,Hays,US,2022-07-09 03:14:24,30.0502,-98.0336,92.62,49,3,3.0
226,Bichura,RU,2022-07-09 03:14:25,50.5881,107.6022,65.53,69,88,10.0
227,Forio,IT,2022-07-09 03:14:25,40.7342,13.8646,74.43,69,0,8.99
228,Liverpool,GB,2022-07-09 03:14:26,53.4106,-2.9779,62.62,91,100,10.36
229,Carndonagh,IE,2022-07-09 03:14:26,55.25,-7.2667,56.07,97,97,7.47
230,Timbiqui,CO,2022-07-09 03:14:26,2.7717,-77.6654,75.51,94,79,3.65
231,Acarau,BR,2022-07-09 03:14:27,-2.8856,-40.12,78.01,75,60,13.18
232,Nouadhibou,MR,2022-07-09 03:14:27,20.931,-17.0347,67.42,93,3,11.68
233,Moerai,PF,2022-07-09 03:15:27,-22.4333,-151.3333,71.1,59,0,15.75
234,Sokolo,ML,2022-07-09 03:15:28,14.7328,-6.1219,88.41,46,81,10.67
235,Anadyr,RU,2022-07-09 03:15:28,64.75,177.4833,52.3,87,40,15.66
236,Shimoda,JP,2022-07-09 03:15:28,34.6667,138.95,80.1,82,100,6.58
237,Mount Gambier,AU,2022-07-09 03:15:29,-37.8333,140.7667,52.07,81,75,7.63
238,Aykhal,RU,2022-07-09 03:15:29,66.0,111.5,55.4,46,25,4.41
239,Hudson Bay,CA,2022-07-09 03:15:30,52.85,-102.3842,64.71,96,85,5.48
240,Escanaba,US,2022-07-09 03:15:30,45.7453,-87.0646,62.56,64,0,4.61
241,Katsuura,JP,2022-07-09 03:15:30,35.1333,140.3,78.49,73,100,10.69
242,Tessalit,ML,2022-07-09 03:15:31,20.1986,1.0114,88.05,11,7,6.71
243,Matara,LK,2022-07-09 03:15:31,5.9485,80.5353,82.04,79,95,14.47
244,Vila Franca Do Campo,PT,2022-07-09 03:15:31,37.7167,-25.4333,65.19,82,24,7.78
245,Ranfurly,NZ,2022-07-09 03:15:32,-45.1333,170.1,40.1,96,100,6.67
246,Calabozo,VE,2022-07-09 03:15:32,8.9242,-67.4293,73.83,93,87,2.39
